,uid,survey_id,revenue,created_at,duration
715,39aab911bd0e2afc5685f350a1b47cec,10748509,0.05133333333333333,0.006481556499496522,0.007862198727712435
732,a4609c248f14b8dc85945ec072144a49,10644916,0.12564102564102564,0.006574150163775044,0.006428635426932935
748,f475e0f6494f4158ff055a008bba7115,10823788,0.07179487179487179,0.006689892244123196,0.006742227398978451
769,773a436bd5b2e5802a32f7a397cdf7ba,10821332,0.012923076923076923,0.0067940601164365325,0.0034719111190752135
782,2f088109d8e9a038ccda3d0ee159d618,10832127,0.01435897435897436,0.006875079572680239,0.006428635426932935
785,4c7790c006c80819458e1a668359d716,10832082,0.012564102564102564,0.006886653780715055,0.005196666965325552
810,3578c01d9bac55686b99c128ecac99ba,27291126,0.06820512820512821,0.007071841109272098,0.005891049189140621
826,9007118675bc4ff702bc14eb56c47b49,2513227,0.03333333333333333,0.007176008981585435,0.011356509273362467
851,f312ef82099394ae13246dab3fdb875e,10826148,0.04914696661538461,0.007349622102107664,0.011916494937729461
856,3712e128e38295ed7f0f35e51f1524a7,27286733,0.016923076923076923,0.007419067350316555,0.005823850909416583
903,a2909a166a49da5888601dd7d140d975,10811599,0.04940195405128205,0.007766293591361011,0.005644655496819145
914,f6298a11fffb40dfb4dcefe744a025bb,3270900,0.12102564102564102,0.007812590423500273,0.009922945972582968
916,71bd89f694d265192ddf467cf768fb49,10831735,0.035897435897435895,0.007835738839569903,0.009833348266284249
929,6a4c8acb5089c1c1b26b8de517757a68,10807737,0.035897435897435895,0.007905184087778794,0.005980646895439342
982,39b9783a4c8f6f2cc560bdceedc26368,10830271,0.08974358974358974,0.008321855577032142,0.010505331063524642
1011,0b2fc2f58a59ae99c0cac196cfa3020d,10832013,0.01435897435897436,0.008611210777902521,0.009721351133410848
1041,94649fd94b9b9fe692620cac3ad5c0eb,10830889,0.06820512820512821,0.008807972314494381,0.010169339664904445
1046,907f9360dcaee2c8c8ed9b82839b7144,10831735,0.035897435897435895,0.008854269146633642,0.016082788280619882
1047,c8b92b55d37b41800a4b9e95e4099473,27291683,0.10256410256410256,0.008865843354668456,0.008332586685780708
1097,9adacc811a6700d81f14395002f82355,10807737,0.035897435897435895,0.009328811676061066,0.010281336797777842
1130,f17acfad56bd46100cde8c41ee45b6c0,3345743,0.14102564102564102,0.00956029583675737,0.01697876534360707
1207,20f65b7d13d663ce83fd0d40b1757197,10832227,0.015127179487179489,0.010115857822428501,0.014761222112713784
1212,20b5fe90dd5b08f8e5b2838f437db2ba,3270900,0.12102564102564102,0.01013900623849813,0.00521906639190023
1240,82446c3a1a55d8c522c377272f53afad,10644916,0.12564102564102564,0.01035891619115962,0.011580503539109267
1251,70386730ab927c12d43adef4203412d2,10821663,0.007538461538461538,0.010428361439368511,0.008556580951527504
1265,8039eb06141ac5d50d76b0b264da9947,2531104,0.035897435897435895,0.010509380895612219,0.0036511065316726554
1389,c1420c2bec0f9dad2af5f1dedaa02632,10829106,0.026923076923076925,0.011412169122327804,0.002553534629513345
1407,760c1aef855d535fe94cea9833b020a7,10832082,0.012564102564102564,0.011608930658919664,0.0028223277484095053
1415,9d23c1146ec0848c4352ea5cbc4e0844,10832127,0.010769230769230769,0.01168995011516337,0.009430158587940014
1431,096cd2491c5e27067b7c3a22c187ee9a,10830271,0.08974358974358974,0.011759395363372262,0.01854672520383465
1535,5f1899c91affbd50374506bde378fd50,2790471,0.08,0.01251171888563525,0.017314756742227266
1545,0b97b751c1fbc4eae7a4fd9a64caa722,2531104,0.035897435897435895,0.012569589925809326,0.013148463399336842
1556,83f8a8f71b2c61714fee3b5273d85c80,10822790,0.0024573483076923077,0.012639035174018218,0.010684526476122077
1560,1b5b0b1490fa867c6f8d36cc4763a118,10829694,0.04940195405128205,0.012662183590087849,0.011826897231430742
1575,d5521a4f7838497793f608b8a16fa062,10827330,0.02392205128205128,0.012812648294540445,0.010258937371203161
1590,2351f763823a37e9d0e129ebe2fb97d8,10830271,0.08974358974358974,0.012928390374888599,0.016821969357584312
1601,9394d9f6cc3460b8fba84421c92d1ce6,10790788,0.010769230769230769,0.013044132455236751,0.019218708001075044
1617,108d476dae4ed9547a44db11fd6236d4,2792660,0.05333333333333334,0.013171448743619718,0.007459009049368201
1622,1a3e9c549f1a68ee707903c9141eff90,27290603,0.013333333333333334,0.013229319783793794,0.01977869366544203
1624,a817293796b88a88cee7153f49c33fce,3336837,0.1282051282051282,0.013252468199863424,0.02439297553982605
1709,e5bb114b3a1d5230a27e94e2c131b165,2537129,0.07076923076923076,0.01403951434623086,0.010303736224352522
1711,23dcf80c1845780bf317752b4e4152a4,10827330,0.02392205128205128,0.014074236970335306,0.013103664546187485
1730,b6f9e1bdf90903ea1a57cd947e71c38c,10830271,0.08974358974358974,0.014201553258718273,0.02295941223904655
1742,882c747ba4a6bef7a0ea25d47b3657de,10790788,0.010769230769230769,0.01432886954710124,0.016530776812113478
1753,6b715d390a954e471298ec59608cc961,10792292,0.019743589743589744,0.014467760043519021,0.0176059492876981
1770,4c7790c006c80819458e1a668359d716,10826786,0.012564102564102564,0.014583502123867175,0.013842845623151915
1800,19b30a1b9f28c07a898741adfee636aa,10822339,0.1076923076923077,0.014919154156876816,0.016373980826090716
1820,60ac305be14ea16fecf6b37368e06ff9,10832127,0.00717948717948718,0.015092767277399045,0.005017471552728115
1833,840ab473c39e77da42bba143b8b39f8b,10830942,0.07179487179487179,0.015220083565782012,0.02302661051877059
1899,44d6e15f4422255b87a49f5fe693fdfe,10823621,0.036234871794871795,0.01592611025590574,0.02616253023922575
1905,e4c06a2f9b8242a1ae80ff369281d41c,10827291,0.05384615384615385,0.01599555550411463,0.026812113609891455
1921,3e20230d14a57c7d5819d3a0cdf67574,10828960,0.010769230769230769,0.01616916862463686,0.013820446196577237
1929,f312ef82099394ae13246dab3fdb875e,10820991,0.026923076923076925,0.016227039664810934,0.015701998028850323
1940,7806bea5bc69a13c4b6e468236b4d803,10830271,0.08974358974358974,0.01636593016122872,0.02898485798763539
1941,e1118eb916c0da749ca8fbf3ac9349fd,10830271,0.08974358974358974,0.016377504369263534,0.027775288952602686
1945,f9ab2f2489cff6e5115db530ad963e37,10823788,0.07179487179487179,0.01638907857729835,0.011625302392258624
1947,e47e9f336f1f602ba1d356c00a3c92a4,10827330,0.02392205128205128,0.016400652785333165,0.028648866589015196
1958,2617ef2484098ad70c3cdbb4eb124d56,10812846,0.02110769230769231,0.016516394865681315,0.019465101693396516
1968,a3b8500a87c90e752e2d9493974c5442,27290603,0.013333333333333334,0.01663213694602947,0.01570199802885033
1983,a303635d7b2aa7db2b14ed92fca6cf5c,10830271,0.08974358974358974,0.01679417585851688,0.020988262700474738
1994,c7a66b0124835ea6abda94dce6b981a1,10823626,0.04914696661538461,0.016933066354934665,0.01888271660245485
1998,a53cdfd5a3ed55f2264ce196ae48e5e6,3313693,0.07179487179487179,0.016967788979039108,0.028447271749843073
2008,6ae710312832d6dd5fafec8dc473ba14,10827181,0.08974358974358974,0.01708353105938726,0.005017471552728115
2012,91c89d8d7861bc6a167374f3d96926db,27249015,0.09128205128205129,0.017106679475456892,0.008242988979481992
2118,a5e102d941ec5bf4be3f58e04f4da0d5,27293383,0.07076923076923076,0.01783585458165025,0.027170504435086333
2168,065c7f3b478dd099bcba2b40b0aae6e1,10830271,0.08974358974358974,0.01812520978252063,0.02015948391721159
2191,39aab911bd0e2afc5685f350a1b47cec,10784635,0.04666666666666667,0.018264100278938412,0.006406236000358252
2223,147557135dd1cd2cb0078bda0a13281b,10830061,0.07179487179487179,0.018426139191425828,0.025916136546904268
2273,23d7a6fe8f64da4c643df6369b63574d,10597913,0.035897435897435895,0.018727068600331024,0.008377385538930072
